Area,Cancer Type,Year,Sex,Race,Type,Age-Adjusted Rate,Death Count,Population
Puerto Rico,All Types of Cancer,2019,Male and Female,All Races and Ethnicities,Mortality,104,5095,3193553
Utah,All Types of Cancer,2019,Male and Female,All Races and Ethnicities,Mortality,117.8,3288,3203383
Colorado,All Types of Cancer,2019,Male and Female,All Races and Ethnicities,Mortality,126,7986,5758486
Hawaii,All Types of Cancer,2019,Male and Female,All Races and Ethnicities,Mortality,126.7,2500,1415615
Arizona,All Types of Cancer,2019,Male and Female,All Races and Ethnicities,Mortality,130.3,12503,7291843
New Mexico,All Types of Cancer,2019,Male and Female,All Races and Ethnicities,Mortality,131.6,3614,2099634
Connecticut,All Types of Cancer,2019,Male and Female,All Races and Ethnicities,Mortality,131.8,6496,3566022
California,All Types of Cancer,2019,Male and Female,All Races and Ethnicities,Mortality,131.9,59512,39437610
New York,All Types of Cancer,2019,Male and Female,All Races and Ethnicities,Mortality,132.5,33651,19463131
New Jersey,All Types of Cancer,2019,Male and Female,All Races and Ethnicities,Mortality,136.4,15697,8891258
Wyoming,All Types of Cancer,2019,Male and Female,All Races and Ethnicities,Mortality,137.8,1016,580116
Florida,All Types of Cancer,2019,Male and Female,All Races and Ethnicities,Mortality,138.4,45583,21492056
Idaho,All Types of Cancer,2019,Male and Female,All Races and Ethnicities,Mortality,138.4,2928,1789060
Massachusetts,All Types of Cancer,2019,Male and Female,All Races and Ethnicities,Mortality,139.8,12582,6894883
North Dakota,All Types of Cancer,2019,Male and Female,All Races and Ethnicities,Mortality,140.2,1316,763724
Montana,All Types of Cancer,2019,Male and Female,All Races and Ethnicities,Mortality,141.1,2099,1070123
Texas,All Types of Cancer,2019,Male and Female,All Races and Ethnicities,Mortality,142,41488,28986794
Minnesota,All Types of Cancer,2019,Male and Female,All Races and Ethnicities,Mortality,142.4,10042,5640053
Washington,All Types of Cancer,2019,Male and Female,All Races and Ethnicities,Mortality,144,12960,7614024
Maryland,All Types of Cancer,2019,Male and Female,All Races and Ethnicities,Mortality,144.2,10742,6054954
Virginia,All Types of Cancer,2019,Male and Female,All Races and Ethnicities,Mortality,144.9,15045,8556642
Oregon,All Types of Cancer,2019,Male and Female,All Races and Ethnicities,Mortality,145.3,8080,4216116
District of Columbia,All Types of Cancer,2019,Male and Female,All Races and Ethnicities,Mortality,147.2,1025,708253
New Hampshire,All Types of Cancer,2019,Male and Female,All Races and Ethnicities,Mortality,147.4,2819,1360783
Alaska,All Types of Cancer,2019,Male and Female,All Races and Ethnicities,Mortality,147.6,1021,733603
Nebraska,All Types of Cancer,2019,Male and Female,All Races and Ethnicities,Mortality,147.6,3482,1932571
Nevada,All Types of Cancer,2019,Male and Female,All Races and Ethnicities,Mortality,148.7,5433,3090771
Wisconsin,All Types of Cancer,2019,Male and Female,All Races and Ethnicities,Mortality,149.8,11505,5824581
Iowa,All Types of Cancer,2019,Male and Female,All Races and Ethnicities,Mortality,150.6,6335,3159596
Vermont,All Types of Cancer,2019,Male and Female,All Races and Ethnicities,Mortality,150.7,1378,624046
Delaware,All Types of Cancer,2019,Male and Female,All Races and Ethnicities,Mortality,151,2073,976668
Georgia,All Types of Cancer,2019,Male and Female,All Races and Ethnicities,Mortality,151.3,17756,10628020
North Carolina,All Types of Cancer,2019,Male and Female,All Races and Ethnicities,Mortality,151.8,19951,10501384
Illinois,All Types of Cancer,2019,Male and Female,All Races and Ethnicities,Mortality,151.9,23902,12667017
Pennsylvania,All Types of Cancer,2019,Male and Female,All Races and Ethnicities,Mortality,153,27745,12798883
South Dakota,All Types of Cancer,2019,Male and Female,All Races and Ethnicities,Mortality,153.4,1737,887127
South Carolina,All Types of Cancer,2019,Male and Female,All Races and Ethnicities,Mortality,153.5,10487,5157702
Rhode Island,All Types of Cancer,2019,Male and Female,All Races and Ethnicities,Mortality,153.5,2210,1058158
Kansas,All Types of Cancer,2019,Male and Female,All Races and Ethnicities,Mortality,154,5619,2912635
Michigan,All Types of Cancer,2019,Male and Female,All Races and Ethnicities,Mortality,157.1,20923,9984795
Missouri,All Types of Cancer,2019,Male and Female,All Races and Ethnicities,Mortality,159.6,12873,6140475
Alabama,All Types of Cancer,2019,Male and Female,All Races and Ethnicities,Mortality,160.3,10266,4907965
Ohio,All Types of Cancer,2019,Male and Female,All Races and Ethnicities,Mortality,162.8,25170,11696507
Indiana,All Types of Cancer,2019,Male and Female,All Races and Ethnicities,Mortality,163.6,13515,6731010
Maine,All Types of Cancer,2019,Male and Female,All Races and Ethnicities,Mortality,163.8,3413,1345770
Arkansas,All Types of Cancer,2019,Male and Female,All Races and Ethnicities,Mortality,165.2,6482,3020985
Tennessee,All Types of Cancer,2019,Male and Female,All Races and Ethnicities,Mortality,166.8,14382,6830325
Louisiana,All Types of Cancer,2019,Male and Female,All Races and Ethnicities,Mortality,167.5,9485,4658285
Oklahoma,All Types of Cancer,2019,Male and Female,All Races and Ethnicities,Mortality,172.6,8309,3960676
West Virginia,All Types of Cancer,2019,Male and Female,All Races and Ethnicities,Mortality,173.7,4604,1795263
Kentucky,All Types of Cancer,2019,Male and Female,All Races and Ethnicities,Mortality,176.1,9974,4472345
Mississippi,All Types of Cancer,2019,Male and Female,All Races and Ethnicities,Mortality,178.8,6587,2978227
