State,Pop/Fac
DC,31740.066666666666
FL,24936.5525477707
TX,33407.57665505227
NV,30221.63768115942
CO,27839.369565217392
UT,31487.890625
AZ,29454.0
SC,33651.15454545455
WA,34692.63087248322
ND,10440.5625
ID,24583.04081632653
GA,26499.978339350182
DE,23747.733333333334
NC,27489.01851851852
OR,27269.40740740741
CA,35178.03416557162
VA,28909.5756097561
SD,12526.895833333334
TN,25108.46875
MT,15835.27659574468
MD,32553.992424242424
MA,31844.251612903226
MN,18497.585714285713
HI,26500.135135135137
OK,23376.181034482757
NH,22304.886363636364
AK,13904.333333333334
LA,22444.91724137931
NE,14127.806451612903
WY,12992.066666666668
KY,21772.76388888889
AL,24918.241134751774
IN,26102.212290502794
AR,25503.13253012048
WI,18973.437209302327
IA,15103.724137931034
MO,27231.345911949684
ME,20781.895833333332
NJ,25616.623481781375
NY,25246.352727272726
NM,31871.391304347828
KS,18277.24770642202
MS,21236.20202020202
MI,26147.91881918819
OH,24926.936936936938
CT,22587.22807017544
VT,30185.333333333332
PA,26879.81049562682
RI,22457.647058823528
IL,26406.564179104476
WV,20194.109375
